"","Episode","2-hidden_layers","3-hidden_layers","4-hidden_layers","5-hidden_layers"
"1",1,45.8430737549882,45.7630895478134,46.0848486930706,49.2208729626407
"2",2,45.8329593185249,46.0594173266112,45.2445403806346,47.3432811961171
"3",3,46.2470614897014,46.0825751204594,46.1364373885741,46.5252980393217
"4",4,46.8618239717865,47.3472190678524,46.2230460446034,47.0307395968228
"5",5,46.9493123114747,47.5013918451147,46.0961606332614,47.6547816429377
"6",6,46.6787928979431,47.7241345392471,45.7971726102855,47.656085229642
"7",7,46.0394662374687,47.9356106403046,46.1472851968937,48.0673504374824
"8",8,46.0487317256012,47.6663000699274,46.3848917170497,48.3574338372094
"9",9,46.158338054269,47.887618899765,46.5865519236326,48.4462637966562
"10",10,46.5684870601136,47.8060565872302,46.51550434287,48.6680833344136
"11",11,46.9502971396339,47.7984424430146,46.5756184960063,48.6199134718504
"12",12,46.6903380866869,47.9465405470397,46.4829418343194,48.5972296382578
"13",13,46.70967346175,48.1637028563785,46.3345581601634,48.6196453976946
"14",14,47.2430514309169,48.349498343153,46.5257707653611,48.9210357127552
"15",15,47.5795007130627,48.4041210754661,46.5017947086357,49.2961889214629
"16",16,47.9256272482376,48.5452451536505,46.8674249564931,49.6843679729345
"17",17,48.088469157118,49.0617711897895,47.1735000949854,49.9624787542538
"18",18,48.4775788223713,49.1357749870034,47.561564284427,50.2033942087406
"19",19,48.73381389931,49.3259667381353,47.9087573336399,50.3459410983032
"20",20,49.2326534637842,49.4786450061118,48.1845097981534,50.7443838016481
"21",21,49.5976639722164,49.6570626617781,48.5470876785012,50.9997567768891
"22",22,49.9009239545438,49.9595144239462,48.726912288402,51.1176500049736
"23",23,50.3145825608001,50.121071861361,49.0701313725784,51.4100543482267
"24",24,50.5509114907391,50.3878335058448,49.438820735924,51.7327722201169
"25",25,50.7819793363885,50.632199726708,49.7974642833577,52.065530819343
"26",26,50.9513449524242,50.907135474982,50.1395268366554,52.3237995928074
"27",27,51.2194866751919,51.1107941370703,50.474887402392,52.5337400033444
"28",28,51.4835932341347,51.3304809050644,50.7554115686481,52.7687911891209
"29",29,51.7550806361164,51.6169502413099,51.0358765379663,52.9727201602102
"30",30,52.0246939780886,51.908990429245,51.3088970806971,53.1773711181323
"31",31,52.4381313562944,52.3707484854581,51.7481402675842,53.5195299983989
"32",32,52.8835883974181,52.8377374490275,52.2322500372945,53.9941100162521
"33",33,53.3143005928689,53.3205248891461,52.5977340308078,54.4709656769743
"34",34,53.6700485000013,53.6282198634685,53.0164446710559,54.8487978042996
"35",35,54.0698544007661,54.0263572540444,53.4795917796779,55.1595718942523
"36",36,54.5092215561363,54.40711309097,53.9789031941397,55.5737476575239
"37",37,55.1018859867649,54.7839507155746,54.3520156128406,55.8615759508437
"38",38,55.5420399137924,55.261768470522,54.5954540249522,56.1577400703321
"39",39,55.9522268718155,55.6165018105524,54.9597920591023,56.4785845920275
"40",40,56.2732079500058,56.0655583718412,55.391667544828,56.7848351652738
"41",41,56.5608976861328,56.4796954297169,55.796775305234,57.1724199159422
"42",42,57.1015223504334,56.839253540849,56.2878199056911,57.5373960930358
"43",43,57.5029448557725,57.1681399148359,56.8185503802253,57.9051654668885
"44",44,57.6564015061546,57.4611806947402,57.1676709741097,58.1263729790821
"45",45,57.8821109073368,57.840653248293,57.6174635046623,58.3061491473029
"46",46,58.0844638910147,58.1567767474978,57.876391379369,58.4462707878215
"47",47,58.3728175104505,58.2444771414756,58.1300704430192,58.6062917790111
"48",48,58.5300540568745,58.554742632996,58.3213053286638,58.7586314605077
"49",49,58.738240474625,58.8248793796373,58.4965676719951,58.9959224191072
"50",50,58.7592092988014,59.0723631037489,58.6992921671983,59.0456314393259
"51",51,58.8528953614029,59.288399929337,58.8540051845342,59.1793479700611
"52",52,58.9395208003653,59.4119675702405,59.0982534150233,59.391019979465
"53",53,58.9315692904109,59.632150118325,59.2090568665433,59.4612740461027
"54",54,59.0152493908384,59.7236783432116,59.2788054341393,59.4927197476703
"55",55,59.0921410744023,59.8361406893594,59.3300860061779,59.5089513614702
"56",56,59.2139309899142,59.9127131804009,59.3413072821078,59.5257192756639
"57",57,59.2876326552529,60.0334907083668,59.3299641503145,59.5807355168718
"58",58,59.3161009387476,60.1428552501659,59.3973344791405,59.594789488087
"59",59,59.3100231714149,60.1311210212738,59.4267069881832,59.659415873059
