,Baseline,MD
386,59.71254228,
387,59.98023193,
388,59.77110958,
389,60.82009094,
390,59.33167722,
391,59.85376175,
392,60.40829849,
393,59.58421238,
394,59.27562947,
395,58.38096325,
396,59.57698101,
397,58.29085892,
398,58.39301109,
399,59.07312035,
400,59.01843226,
401,58.55506621,
402,58.47652144,
403,58.75089229,
404,58.26507526,
405,58.49976602,
406,58.73109082,
407,58.31426713,
408,58.32688845,
409,58.45233141,
410,58.91990335,
411,58.84569917,
412,58.78521986,
413,58.25865183,
414,58.73976901,
415,58.83122634,
416,58.83486342,
417,58.92279416,
418,59.02301156,
419,59.13831226,
420,58.51703937,
421,58.94012542,
422,59.20754522,
423,58.46493668,
424,58.28426884,
425,58.62627875,
426,58.26498972,
427,58.39726527,
428,58.27044756,
429,58.11413728,
430,58.56469422,
431,58.30669442,
432,58.36475134,
433,58.65406217,
434,57.67158887,
435,58.15768002,
436,58.14751191,
437,58.15739568,
438,58.29668418,
439,58.30596471,
440,58.30633308,
441,58.25035312,
442,58.24307244,
443,58.40320631,
444,58.27700918,
445,58.27068107,
446,58.27789056,
447,58.39371759,
448,58.2846116,
449,58.12801769,
450,58.52690284,
451,58.18523562,
452,58.28721741,
453,58.25178046,
454,58.11925989,
455,58.2969589,
456,58.28645005,
457,58.39810102,
458,58.39067882,
459,58.26918692,
460,58.37825791,
461,58.27635807,
462,57.70097623,
463,57.6774793,
464,57.67658443,
465,58.26060222,
466,57.68980706,
467,57.78924207,
468,58.36475696,
469,58.36367994,
470,57.93605164,
471,58.27704896,
472,58.29175347,
473,58.30188295,
474,58.28811396,
475,58.30311783,
476,57.92481054,
477,58.30472793,
478,57.87008487,
479,58.05612861,
480,57.97007193,
481,57.97753697,
482,57.76959345,
483,57.7704025,
484,57.989555,
485,57.99748296,
486,57.9884775,
487,58.0086122,
488,58.05332409,
489,58.0189862,
490,58.03244401,
491,58.0023563,
492,57.88477354,
