Timestep,Model,Accumulation,VHT,Actions
17,Greedy control,1595,248,0.8
18,Greedy control,1622,253,0.8
19,Greedy control,1646,258,0.8
20,Greedy control,1672,264,0.8
21,Greedy control,1696,269,0.8
22,Greedy control,1716,273,0.8
23,Greedy control,1736,277,0.8
24,Greedy control,1757,281,0.8
25,Greedy control,1777,285,0.8
26,Greedy control,1796,289,0.8
27,Greedy control,1813,292,0.8
28,Greedy control,1826,298,0.8
29,Greedy control,1836,302,0.8
30,Greedy control,1844,309,0.8
31,Greedy control,1851,312,0.8
32,Greedy control,1856,320,0.8
33,Greedy control,1860,327,0.8
34,Greedy control,1863,329,0.8
35,Greedy control,1865,338,0.8
36,Greedy control,1867,340,0.8
37,Greedy control,1869,348,0.8
38,Greedy control,1870,352,0.8
39,Greedy control,1871,355,0.8
40,Greedy control,1872,364,0.8
41,Greedy control,1875,367,0.8
42,Greedy control,1874,376,0.8
43,Greedy control,1875,379,0.8
44,Greedy control,1874,389,0.8
45,Greedy control,1877,392,0.8
46,Greedy control,1876,403,0.8
47,Greedy control,1875,406,0.8
48,Greedy control,1874,409,0.8
49,Greedy control,1877,419,0.2
50,Greedy control,1878,422,0.2
51,Greedy control,1879,425,0.2
52,Greedy control,1881,437,0.2
53,Greedy control,1898,441,0.2
54,Greedy control,1913,445,0.2
55,Greedy control,1925,458,0.2
56,Greedy control,1933,462,0.2
57,Greedy control,1944,465,0.2
58,Greedy control,1953,479,0.2
59,Greedy control,1963,483,0.2
60,Greedy control,1973,487,0.2
61,Greedy control,1976,502,0.2
62,Greedy control,1979,505,0.2
63,Greedy control,1985,509,0.2
64,Greedy control,1995,513,0.2
65,Greedy control,2013,530,0.2
66,Greedy control,2029,534,0.2
67,Greedy control,2045,539,0.2
68,Greedy control,2059,557,0.2
69,Greedy control,2076,561,0.2
70,Greedy control,2089,565,0.2
71,Greedy control,2104,570,0.2
72,Greedy control,2117,589,0.2
73,Greedy control,2130,592,0.2
74,Greedy control,2141,598,0.2
75,Greedy control,2151,602,0.2
76,Greedy control,2163,622,0.2
77,Greedy control,2176,627,0.2
78,Greedy control,2183,631,0.2
79,Greedy control,2190,636,0.2
80,Greedy control,2199,658,0.2
81,Greedy control,2210,662,0.2
82,Greedy control,2215,667,0.2
83,Greedy control,2224,671,0.2
84,Greedy control,2235,676,0.2
85,Greedy control,2240,700,0.2
86,Greedy control,2251,705,0.2
87,Greedy control,2260,710,0.2
88,Greedy control,2265,714,0.2
89,Greedy control,2273,741,0.2
90,Greedy control,2275,745,0.2
1,Fixed control,922,100,0.5
2,Fixed control,984,112,0.5
3,Fixed control,1039,121,0.5
4,Fixed control,1087,133,0.5
5,Fixed control,1133,146,0.5
6,Fixed control,1179,158,0.5
7,Fixed control,1225,168,0.5
8,Fixed control,1268,178,0.5
9,Fixed control,1310,188,0.5
10,Fixed control,1353,197,0.5
11,Fixed control,1403,206,0.5
12,Fixed control,1453,215,0.5
13,Fixed control,1509,223,0.5
14,Fixed control,1556,231,0.5
15,Fixed control,1599,239,0.5
16,Fixed control,1635,246,0.5
17,Fixed control,1672,252,0.5
18,Fixed control,1704,257,0.5
19,Fixed control,1731,263,0.5
20,Fixed control,1761,268,0.5
21,Fixed control,1787,273,0.5
22,Fixed control,1806,277,0.5
23,Fixed control,1825,281,0.5
24,Fixed control,1845,285,0.5
25,Fixed control,1864,289,0.5
26,Fixed control,1885,292,0.5
27,Fixed control,1901,296,0.5
28,Fixed control,1915,303,0.5
29,Fixed control,1924,306,0.5
30,Fixed control,1930,313,0.5
31,Fixed control,1933,316,0.5
32,Fixed control,1943,323,0.5
33,Fixed control,1946,326,0.5
34,Fixed control,1948,333,0.5
35,Fixed control,1952,337,0.5
36,Fixed control,1957,345,0.5
37,Fixed control,1959,348,0.5
38,Fixed control,1959,356,0.5
39,Fixed control,1958,359,0.5
40,Fixed control,1958,368,0.5
41,Fixed control,1959,370,0.5
42,Fixed control,1960,380,0.5
43,Fixed control,1957,383,0.5
44,Fixed control,1961,393,0.5
45,Fixed control,1962,396,0.5
46,Fixed control,1960,399,0.5
47,Fixed control,1964,410,0.5
48,Fixed control,1961,413,0.5
49,Fixed control,1962,424,0.5
50,Fixed control,1964,427,0.5
51,Fixed control,1962,431,0.5
52,Fixed control,1959,442,0.5
53,Fixed control,1963,446,0.5
54,Fixed control,1960,459,0.5
55,Fixed control,1962,462,0.5
56,Fixed control,1963,465,0.5
57,Fixed control,1962,479,0.5
58,Fixed control,1964,482,0.5
59,Fixed control,1964,486,0.5
60,Fixed control,1961,489,0.5
61,Fixed control,1963,504,0.5
62,Fixed control,1963,507,0.5
63,Fixed control,1962,511,0.5
64,Fixed control,1961,527,0.5
65,Fixed control,1963,530,0.5
66,Fixed control,1965,534,0.5
67,Fixed control,1961,551,0.5
68,Fixed control,1961,555,0.5
69,Fixed control,1963,559,0.5
70,Fixed control,1962,563,0.5
71,Fixed control,1963,580,0.5
72,Fixed control,1957,584,0.5
73,Fixed control,1962,588,0.5
74,Fixed control,1961,592,0.5
75,Fixed control,1963,612,0.5
76,Fixed control,1962,616,0.5
77,Fixed control,1963,620,0.5
78,Fixed control,1962,624,0.5
79,Fixed control,1959,646,0.5
80,Fixed control,1961,649,0.5
81,Fixed control,1965,654,0.5
82,Fixed control,1963,658,0.5
83,Fixed control,1964,662,0.5
84,Fixed control,1962,686,0.5
85,Fixed control,1961,690,0.5
86,Fixed control,1962,694,0.5
87,Fixed control,1960,699,0.5
88,Fixed control,1958,724,0.5
89,Fixed control,1966,729,0.5
90,Fixed control,1963,734,0.5
1,Baseline model,921,98,0.2
2,Baseline model,983,110,0.4
3,Baseline model,1037,119,0.4
4,Baseline model,1086,132,0.4
5,Baseline model,1133,145,0.4
6,Baseline model,1180,157,0.4
7,Baseline model,1226,168,0.4
8,Baseline model,1270,179,0.4
9,Baseline model,1340,189,0.4
10,Baseline model,1420,201,0.4
11,Baseline model,1486,210,0.4
12,Baseline model,1549,219,0.4
13,Baseline model,1603,228,0.4
14,Baseline model,1647,236,0.4
15,Baseline model,1690,243,0.4
16,Baseline model,1727,250,0.4
17,Baseline model,1758,256,0.4
18,Baseline model,1791,262,0.4
19,Baseline model,1818,267,0.4
20,Baseline model,1844,272,0.4
21,Baseline model,1871,278,0.4
22,Baseline model,1890,281,0.4
23,Baseline model,1910,286,0.4
24,Baseline model,1935,290,0.4
25,Baseline model,1944,293,0.4
26,Baseline model,1963,296,0.4
27,Baseline model,1981,300,0.4
28,Baseline model,1996,307,0.4
29,Baseline model,2006,310,0.4
30,Baseline model,2011,318,0.4
31,Baseline model,2019,320,0.4
32,Baseline model,2024,327,0.4
33,Baseline model,2026,330,0.4
34,Baseline model,2028,337,0.4
35,Baseline model,2029,340,0.4
36,Baseline model,2032,349,0.4
37,Baseline model,2039,357,0.4
38,Baseline model,2033,360,0.4
39,Baseline model,2037,363,0.4
40,Baseline model,2038,372,0.4
41,Baseline model,2037,374,0.4
42,Baseline model,2039,384,0.4
43,Baseline model,2041,387,0.4
44,Baseline model,2042,397,0.4
45,Baseline model,2038,400,0.4
46,Baseline model,2041,411,0.4
47,Baseline model,2040,414,0.4
48,Baseline model,2044,417,0.4
49,Baseline model,2044,428,0.4
50,Baseline model,2039,431,0.4
51,Baseline model,2043,435,0.4
52,Baseline model,2045,447,0.4
53,Baseline model,2040,450,0.4
54,Baseline model,2040,463,0.4
55,Baseline model,2044,466,0.4
56,Baseline model,2039,469,0.4
57,Baseline model,2044,483,0.4
58,Baseline model,2040,486,0.4
59,Baseline model,2045,489,0.4
60,Baseline model,2042,493,0.4
61,Baseline model,2041,508,0.4
62,Baseline model,2046,511,0.4
63,Baseline model,2043,515,0.4
64,Baseline model,2041,530,0.4
65,Baseline model,2044,534,0.4
66,Baseline model,2044,538,0.4
67,Baseline model,2044,555,0.4
68,Baseline model,2043,559,0.4
69,Baseline model,2041,563,0.4
70,Baseline model,2042,566,0.4
71,Baseline model,2046,584,0.4
72,Baseline model,2043,588,0.4
73,Baseline model,2043,592,0.4
74,Baseline model,2041,596,0.4
75,Baseline model,2040,616,0.4
76,Baseline model,2042,619,0.4
77,Baseline model,2043,624,0.4
78,Baseline model,2041,628,0.4
79,Baseline model,2043,650,0.4
80,Baseline model,2042,654,0.4
81,Baseline model,2043,658,0.4
82,Baseline model,2042,662,0.4
83,Baseline model,2045,666,0.4
84,Baseline model,2042,690,0.4
85,Baseline model,2043,694,0.4
86,Baseline model,2041,698,0.4
87,Baseline model,2039,702,0.4
88,Baseline model,2043,729,0.4
89,Baseline model,2042,733,0.4
90,Baseline model,2041,738,0.4
