Timestep,Model,Accumulation,VHT,Actions
1,MD-model,920,100,0.4
2,MD-model,982,111,0.4
3,MD-model,1037,120,0.4
4,MD-model,1086,132,0.4
5,MD-model,1134,146,0.4
6,MD-model,1181,157,0.4
7,MD-model,1228,167,0.2
8,MD-model,1273,178,0.2
9,MD-model,1366,189,0.2
10,MD-model,1455,201,0.2
11,MD-model,1538,212,0.2
12,MD-model,1607,221,0.2
13,MD-model,1671,231,0.2
14,MD-model,1727,238,0.2
15,MD-model,1775,247,0.2
16,MD-model,1828,254,0.2
17,MD-model,1873,261,0.2
18,MD-model,1914,268,0.2
19,MD-model,1950,274,0.2
20,MD-model,1984,279,0.2
21,MD-model,2015,284,0.2
22,MD-model,2044,288,0.2
23,MD-model,2075,293,0.2
24,MD-model,2104,297,0.2
25,MD-model,2131,302,0.2
26,MD-model,2154,306,0.2
27,MD-model,2178,309,0.2
28,MD-model,2201,317,0.2
29,MD-model,2216,320,0.2
30,MD-model,2232,328,0.2
31,MD-model,2245,331,0.2
32,MD-model,2258,339,0.2
33,MD-model,2269,341,0.2
34,MD-model,2278,349,0.2
35,MD-model,2286,352,0.2
36,MD-model,2295,362,0.2
37,MD-model,2301,365,0.2
38,MD-model,2304,373,0.2
39,MD-model,2313,377,0.2
40,MD-model,2318,385,0.2
41,MD-model,2325,388,0.2
42,MD-model,2327,398,0.2
43,MD-model,2333,402,0.2
44,MD-model,2333,412,0.2
45,MD-model,2339,415,0.2
46,MD-model,2338,418,0.2
47,MD-model,2342,428,0.2
48,MD-model,2344,431,0.2
49,MD-model,2348,443,0.2
50,MD-model,2352,447,0.2
51,MD-model,2358,450,0.2
52,MD-model,2363,462,0.2
53,MD-model,2362,465,0.2
54,MD-model,2365,468,0.2
55,MD-model,2370,481,0.2
56,MD-model,2370,485,0.2
57,MD-model,2369,488,0.2
58,MD-model,2369,501,0.2
59,MD-model,2373,506,0.2
60,MD-model,2371,509,0.2
61,MD-model,2373,524,0.2
62,MD-model,2373,528,0.2
63,MD-model,2376,531,0.2
64,MD-model,2377,547,0.2
65,MD-model,2381,550,0.2
66,MD-model,2384,554,0.2
67,MD-model,2387,572,0.2
68,MD-model,2391,577,0.2
69,MD-model,2392,580,0.2
70,MD-model,2348,598,0.6
71,MD-model,2351,600,0.2
72,MD-model,2310,605,0.6
73,MD-model,2314,606,0.2
74,MD-model,2279,627,0.6
75,MD-model,2286,628,0.2
76,MD-model,2253,634,0.6
77,MD-model,2262,635,0.2
78,MD-model,2227,658,0.6
79,MD-model,2236,660,0.2
80,MD-model,2238,664,0.2
81,MD-model,2212,669,0.6
82,MD-model,2221,671,0.2
83,MD-model,2195,696,0.6
84,MD-model,2201,698,0.2
85,MD-model,2174,704,0.6
86,MD-model,2187,705,0.2
87,MD-model,2161,711,0.6
88,MD-model,2172,736,0.2
89,MD-model,2150,742,0.6
90,MD-model,2125,745,0.6
1,Greedy control,920,101,0.8
2,Greedy control,985,113,0.8
3,Greedy control,1041,123,0.8
4,Greedy control,1090,134,0.8
5,Greedy control,1137,147,0.8
6,Greedy control,1184,158,0.8
7,Greedy control,1229,169,0.8
8,Greedy control,1272,180,0.8
9,Greedy control,1316,190,0.8
10,Greedy control,1357,199,0.8
11,Greedy control,1397,207,0.8
12,Greedy control,1434,215,0.8
13,Greedy control,1469,222,0.8
14,Greedy control,1504,229,0.8
15,Greedy control,1535,236,0.8
16,Greedy control,1566,242,0.8
