"","Episode","lr_0.0001","lr_0.0005","lr_0.001","lr_0.005","lr_0.01","lr_0.05","lr_0.1"
"1",1,23.8067917722939,24.0950912608971,24.2113257701066,24.0950912608971,24.0876565251372,24.1185459571477,24.0876565251372
"2",2,24.0753165128157,23.9659480217768,24.0024564428078,23.9659480217768,23.8065246860197,24.2474774751678,23.8065246860197
"3",3,24.18397221929,23.9942727560814,24.0581572720119,23.9942727560814,24.0533495986191,24.1104411655877,24.0533495986191
"4",4,24.1867256216361,24.0922434341544,24.1774766298774,24.0922434341544,24.1355491100488,24.1456177820339,24.1355491100488
"5",5,24.1443356297876,24.1509326446123,24.2477412848917,24.1509326446123,24.1477018002414,24.2476902933483,24.1904113108839
"6",6,24.1556682269133,24.1113535856961,24.2306729832104,24.1113535856961,24.1048595480608,24.1358916141184,24.1662349693768
"7",7,24.1646875826168,24.1735309617993,24.2002749426234,24.1735309617993,24.1127591096536,24.2208481257036,24.1767996239449
"8",8,24.2133204895583,24.2102383513117,24.2105726090715,24.109784259911,24.0456306120639,24.2623311815855,24.1777147253963
"9",9,24.2026623633155,24.2733853215518,24.1953289722039,24.1462510133367,24.0109802162587,24.3188927402254,24.1736071131272
"10",10,24.1741293008912,24.2675180418117,24.1166309217989,24.1454487575843,23.9846221382375,24.3888842961986,24.2213974840162
"11",11,24.142088582058,24.2609810242199,24.1563712414759,24.1426686466079,24.0042940561671,24.4176377961945,24.2839938767643
"12",12,24.1144054545722,24.2763311880936,24.1271868394079,24.1298554984167,23.9854508775153,24.4386798666371,24.2882987834778
"13",13,24.0810860603969,24.2309281213792,24.1054628817219,24.0822673316932,23.9408117886595,24.4247335460848,24.3095316904037
"14",14,24.044618898437,24.2351856658807,24.0980170622256,24.0744854616376,23.9214191119505,24.4004467143509,24.3616658603788
"15",15,24.088680231869,24.2471079241185,24.0774691883491,24.047070106969,23.9254801584625,24.3430754224908,24.3778098972122
"16",16,24.0541528429719,24.2271255195527,24.0472800228441,24.0141593370812,23.9018893170508,24.3242154258489,24.4224979695644
"17",17,24.0092452885404,24.2333426885346,24.0078488662402,24.0005830428223,23.8696000969069,24.339252396386,24.4012659388317
"18",18,24.0035397144303,24.1982662390012,23.9956161401764,23.9930601632727,23.8500656725943,24.3470296488072,24.4090953639992
"19",19,24.0024634952292,24.167624042457,23.9945371366326,23.9710711398148,23.833980393357,24.3565582041481,24.4362421249059
"20",20,23.967073502781,24.1831883282115,23.9556342626244,23.9374420794853,23.8460597721517,24.3070089159028,24.4392747921712
"21",21,23.9421867561084,24.1541924673377,23.896790303775,23.9372099177689,23.8251810928398,24.3165868492891,24.4713900322555
"22",22,23.8831815589361,24.1417152861898,23.8924977836423,23.9419867804848,23.8379557366847,24.2632423696573,24.5508380354742
"23",23,23.8450760253861,24.0987903317117,23.86994179541,23.9181834686836,23.7756851917497,24.268569507948,24.5479908295702
