Timestep,Model,Accumulation,Outflow,Travel_time
42,Greedy control,7496.34,466.31,16323.61
43,Greedy control,7706.4,467.09,17344.92
44,Greedy control,7918.93,467.86,18393.16
45,Greedy control,8124.8,468.68,19605.91
46,Greedy control,8326.07,469.57,20762.25
47,Greedy control,8464.48,469.16,22039.43
48,Greedy control,8539.27,468.45,23348.28
49,Greedy control,8559.24,467.45,24594.51
50,Greedy control,8524.25,466.3,25838.02
51,Greedy control,8421.8,465.46,27149.59
52,Greedy control,8251.22,464.83,28281.59
53,Greedy control,8027.34,463.3,29356.44
54,Greedy control,7805.39,462.31,30357.74
55,Greedy control,7576,461.22,31343.65
56,Greedy control,7340.17,459.86,32143.69
57,Greedy control,7104.79,458.35,32940.33
58,Greedy control,6858.64,456.67,33737.01
59,Greedy control,6626.64,455.21,34461.19
60,Greedy control,6367.35,453.65,35134.8
61,Greedy control,6139.86,452.17,35720.72
62,Greedy control,5862.05,450.72,36294.77
63,Greedy control,5624.58,448.47,36868.67
64,Greedy control,5375.39,446.4,37393.07
65,Greedy control,5126.45,444.23,37858.77
66,Greedy control,4888.94,442.02,38298.96
67,Greedy control,4637.39,440.56,38714.99
68,Greedy control,4410.13,439.71,39104.98
69,Greedy control,4136.72,438.77,39432
70,Greedy control,3902.7,437.55,39778.02
71,Greedy control,3659.67,434.81,40111.89
72,Greedy control,3435.89,431.69,40384.39
73,Greedy control,3220.13,426.7,40656.89
74,Greedy control,3016.61,421.68,40929.4
75,Greedy control,2805.7,414.6,41201.9
76,Greedy control,2638.05,407.89,41433.84
77,Greedy control,2489.83,398.03,41662.69
78,Greedy control,2347.98,391.34,41891.53
79,Greedy control,2227.49,380.04,42120.41
80,Greedy control,2114.81,371.26,42307.68
81,Greedy control,2018.45,361.84,42466.22
82,Greedy control,1927.01,351.18,42654.22
83,Greedy control,1846.06,340.77,42846.68
84,Greedy control,1773.07,329.85,43039.06
85,Greedy control,1705.62,318.61,43195.68
86,Greedy control,1645.78,307.53,43356.26
87,Greedy control,1593.32,296.83,43512.42
88,Greedy control,1547.6,285.42,43633.54
89,Greedy control,1503.83,273.37,43796.98
90,Greedy control,1460.07,261.04,43960.42
1,Fixed control,995.9,240.7,124.49
